"date","count"
2020-06-08T18:51:10-04:00,14
2020-06-08T19:06:10-04:00,9
2020-06-08T19:21:10-04:00,16
2020-06-08T19:36:10-04:00,17
2020-06-08T19:51:10-04:00,8
2020-06-08T20:06:10-04:00,10
2020-06-08T20:21:10-04:00,18
2020-06-08T20:36:10-04:00,16
2020-06-08T20:51:10-04:00,24
2020-06-08T21:06:10-04:00,15
2020-06-08T21:21:10-04:00,13
2020-06-08T21:36:10-04:00,8
2020-06-08T21:51:10-04:00,23
2020-06-08T22:06:10-04:00,23
2020-06-08T22:21:10-04:00,12
2020-06-08T22:36:10-04:00,14
2020-06-08T22:51:10-04:00,21
2020-06-08T23:06:10-04:00,20
2020-06-08T23:21:10-04:00,17
2020-06-08T23:36:10-04:00,13
2020-06-08T23:51:10-04:00,22
2020-06-09T00:06:10-04:00,15
2020-06-09T00:21:10-04:00,20
2020-06-09T00:36:10-04:00,7
2020-06-09T00:51:10-04:00,21
2020-06-09T01:06:10-04:00,10
2020-06-09T01:21:10-04:00,16
2020-06-09T01:36:10-04:00,74
2020-06-09T01:51:10-04:00,12
2020-06-09T02:06:10-04:00,9
2020-06-09T02:21:10-04:00,6
2020-06-09T02:36:10-04:00,8
2020-06-09T02:51:10-04:00,4
2020-06-09T03:06:10-04:00,7
2020-06-09T03:21:10-04:00,5
2020-06-09T03:36:10-04:00,5
2020-06-09T03:51:10-04:00,5
2020-06-09T04:06:10-04:00,10
2020-06-09T04:21:10-04:00,7
2020-06-09T04:36:10-04:00,5
2020-06-09T04:51:10-04:00,5
2020-06-09T05:06:10-04:00,4
2020-06-09T05:21:10-04:00,4
2020-06-09T05:36:10-04:00,2
2020-06-09T05:51:10-04:00,5
2020-06-09T06:06:10-04:00,7
2020-06-09T06:21:10-04:00,3
2020-06-09T06:36:10-04:00,11
2020-06-09T06:51:10-04:00,9
2020-06-09T07:06:10-04:00,8
2020-06-09T07:21:10-04:00,8
2020-06-09T07:36:10-04:00,8
2020-06-09T07:51:10-04:00,10
2020-06-09T08:06:10-04:00,8
2020-06-09T08:21:10-04:00,11
2020-06-09T08:36:10-04:00,7
2020-06-09T08:51:10-04:00,11
2020-06-09T09:06:10-04:00,7
2020-06-09T09:21:10-04:00,12
2020-06-09T09:36:10-04:00,12
2020-06-09T09:51:10-04:00,12
2020-06-09T10:06:10-04:00,15
2020-06-09T10:21:10-04:00,12
2020-06-09T10:36:10-04:00,4
2020-06-09T10:51:10-04:00,11
2020-06-09T11:06:10-04:00,15
2020-06-09T11:21:10-04:00,22
2020-06-09T11:36:10-04:00,21
2020-06-09T11:51:10-04:00,16
2020-06-09T12:06:10-04:00,18
2020-06-09T12:21:10-04:00,19
2020-06-09T12:36:10-04:00,12
2020-06-09T12:51:10-04:00,11
2020-06-09T13:06:10-04:00,14
2020-06-09T13:21:10-04:00,16
2020-06-02T21:16:07-04:00,24
2020-06-02T21:31:07-04:00,38
2020-06-02T21:46:07-04:00,17
2020-06-02T22:01:07-04:00,28
2020-06-02T22:16:07-04:00,18
2020-06-02T22:31:07-04:00,18
2020-06-02T22:46:07-04:00,20
2020-06-02T23:01:07-04:00,22
2020-06-02T23:16:07-04:00,27
2020-06-02T23:31:07-04:00,18
2020-06-02T23:46:07-04:00,29
2020-06-03T00:01:07-04:00,89
2020-06-03T00:16:07-04:00,86
2020-06-03T00:31:07-04:00,88
2020-06-03T00:46:07-04:00,87
2020-06-03T01:01:07-04:00,74
2020-06-03T01:16:07-04:00,65
2020-06-03T01:31:07-04:00,64
2020-06-03T01:46:07-04:00,65
2020-06-03T02:01:07-04:00,55
2020-06-03T02:16:07-04:00,47
2020-06-03T02:31:07-04:00,49
2020-06-03T02:46:07-04:00,53
2020-06-03T03:01:07-04:00,40
2020-06-03T03:16:07-04:00,50
